"v1","v2","n_tokens","jsd","pillai","bhatt_dist","overlap_kde","bhatt_affinity"
"ɑː","ɝ",1000,0.981895845230277,0.683887736465429,1.33866431595347,0.00812058392896158,0.262195645339658
"ɑː","i",1000,0.984556824196949,0.762890899525772,1.89697074154051,0.00634425161818079,0.150022388172407
"ɑː","iː",1000,0.99338478081955,0.795202045783495,2.21861781566252,0.00173876685757046,0.108759330427141
"ɑː","ɪ",1000,0.97902827497989,0.705364139737575,1.42903029966842,0.00384136282336843,0.239541092734713
"ɑː","o",1000,0.936828731240293,0.501191484467678,0.812872232909715,0.0288418282239953,0.443582163467079
"ɑː","ow",1000,0.859170491321684,0.341030272910406,0.402793803322023,0.0405902630822353,0.668449917266605
"ɑː","ɔ",1000,0.865036413913091,0.337616106261436,0.446809407949165,0.0570374541583031,0.639665811876437
"ɑː","u",783,0.972047033129039,0.650505398817153,1.49443709143305,0.00950140182211509,0.224374871726317
"ɑː","uː",1000,0.960105433624439,0.73643938370872,1.85891865461934,0.0111204533390643,0.155841057295169
"ɑː","ʉː",1000,0.987764401315267,0.746555477854219,1.70486549647742,0.0049894291344751,0.181796836845929
"ɑː","ʊ",1000,0.957570350904296,0.650728477844366,1.13808103514969,0.0105591039144281,0.32043333250943
"ɒ","ɒː",939,0.785887325133648,0.0991178810987262,0.162841864081874,0.0831822342262574,0.849725549920612
"ɒ","e",1000,0.984680636770156,0.724361342287122,1.68510938051825,0.00549088766633963,0.185424149057193
"ɒ","ej",1000,0.980781174474841,0.702816537495029,1.45730933630391,0.00806846508446506,0.232861985854699
"ɒ","ə",1000,0.92298479352734,0.449935817383275,0.56569778553496,0.0249422737339741,0.567963691604907
"ɒ","əw",1000,0.848130014223807,0.153807317321581,0.217834653097746,0.0879183703197551,0.804258412310202
"ɒ","ɛ",1000,0.942767127790588,0.499235327580897,0.666891268984461,0.016190948494744,0.513301817306664
"ɒ","ɛː",845,0.941063282494181,0.515837620534694,0.74132249856884,0.0104803866348556,0.47648335010342
"ɒ","ɚ",1000,0.953816212041201,0.628385290467465,1.14725112420591,0.017064637173816,0.317508361930917
"ɒ","ɝ",1000,0.947734110010939,0.600249656399119,0.987858815860608,0.0242844434278539,0.372373157525858
"ɒ","i",1000,0.979607696369046,0.723685651471573,1.61126991614194,0.00364869339494912,0.19963393467733
"ɒ","iː",1000,0.991500881083611,0.75731469707448,1.84834087597814,0.00560304651106928,0.157498258805908
"ɒ","ɪ",1000,0.960236522662891,0.63316915860391,1.09940013921525,0.0109767954011312,0.333070819908538
"ɒ","o",1000,0.81954624251893,0.327736872580522,0.550979665717037,0.0633953300867295,0.576384869202741
"ɒ","ow",1000,0.788435252944092,0.107446004057452,0.219547499493956,0.101315621259423,0.802882020297614
"ɒ","ɔ",1000,0.844526983741068,0.239200394343065,0.337815824671759,0.0668095647896593,0.713326652971262
"ɒ","u",783,0.966296053736924,0.590404767612528,1.26066109844776,0.0154900492580663,0.283466565235154
"ɒ","uː",1000,0.952521190412124,0.689962168420253,1.58940223552163,0.0147335948096932,0.20404754766199
"ɒ","ʉː",1000,0.969953814619857,0.66098778449692,1.20689855169398,0.0118730666608876,0.299123558537933
"ɒ","ʊ",1000,0.921008894644489,0.50360980592652,0.726069437613641,0.0258621251022157,0.483806890905639
"ɒː","e",939,0.968964021629172,0.694719337213961,1.50579159348034,0.0128922535834268,0.221841615931543
"ɒː","ej",939,0.980216751660449,0.693659626313837,1.4008387373231,0.00632254939898898,0.246390220577992
"ɒː","ə",939,0.908960432233682,0.480744055125368,0.643401063877824,0.0221365381036813,0.525502115029986
"ɒː","əw",939,0.864093826557931,0.217114853944248,0.276109438873583,0.0645068567868353,0.758729891672774
"ɒː","ɛ",939,0.951748364112706,0.543269953221728,0.802793437777244,0.0167644608379808,0.448075543106315
"ɒː","ɛː",784,0.95496299367506,0.552173810481184,0.854631809807973,0.0140160638402571,0.425439805012152
"ɒː","ɚ",939,0.948629646900999,0.660344459781612,1.30668848388135,0.022824730034737,0.270715050927082
"ɒː","ɝ",939,0.961916424387378,0.662150180281843,1.26425059704248,0.00934904324400701,0.282450886377052
"ɒː","i",939,0.969914386027308,0.694523560596983,1.46359582035847,0.0117859478830744,0.231402694405836
"ɒː","iː",939,0.98033148929225,0.733416344466999,1.69673707161342,0.00581993220445182,0.1832805808562
"ɒː","ɪ",939,0.968050519543333,0.626571593731095,1.09685414555387,0.0111677403670094,0.333919896518
"ɒː","o",939,0.843018716140346,0.336840007621109,0.552994811241089,0.0702451904949778,0.575224539322874
"ɒː","ow",939,0.82470007352561,0.197856409162204,0.31434601943104,0.0787249432258441,0.730266298108214
"ɒː","ɔ",939,0.865377837900138,0.295038725504715,0.387710027656618,0.0713395586709556,0.678609092605615
"ɒː","u",722,0.930650200164902,0.563116562606349,1.1655923317207,0.0168067781769283,0.31173795505482
"ɒː","uː",939,0.942625580024841,0.667910475356939,1.48047901300249,0.02261980777302,0.227528673083178
"ɒː","ʉː",939,0.955809640732102,0.646194585496412,1.17373732065844,0.0145363771246033,0.309209165321781
"ɒː","ʊ",939,0.907495433376061,0.511650929281053,0.756404730318862,0.020827428568445,0.469350840081058
"e","ej",1000,0.821701602304864,0.249389489629592,0.456012164861652,0.0742026989352672,0.633806126887804
"e","ə",1000,0.820749805207463,0.32440527602883,0.543373056241067,0.0592273809241713,0.580785921131707
"e","əw",1000,0.90857289968048,0.568357626867176,1.06578010869556,0.0252987713487263,0.344459034438286
"e","ɛ",1000,0.84385060101324,0.416681109969488,0.692127530087807,0.04844106953727,0.500510085246206
"e","ɛː",845,0.838355234895911,0.336942143950306,0.597118910821188,0.0682157313582849,0.550395091302504
"e","ɚ",1000,0.899458734159923,0.537495853234095,0.87717091218885,0.0337668550783876,0.415958030434585
"e","ɝ",1000,0.969114458400331,0.707884052862251,1.57521818815964,0.00856416773342797,0.206962391011252
"e","i",1000,0.663225987180571,0.0825792812766775,0.241609516210597,0.174635693299272,0.785362789122462
"e","iː",1000,0.807050104980818,0.288081697117603,0.462284693678033,0.0884152428318413,0.629843002094098
"e","ɪ",1000,0.793001152284802,0.11059293277718,0.353998367988081,0.0973761894309579,0.701876112824641
"e","o",1000,0.818301780806773,0.551426732051638,0.851975090611612,0.0586851989911089,0.426571581849961
