"vowel","mfcc1","mfcc2","mfcc3","mfcc4","mfcc5","mfcc6","mfcc7","mfcc8","mfcc9","mfcc10","mfcc11","mfcc12","mfcc13"
"a",-71.1237255769313,8.32458018029375,-10.2633987568247,-7.03250712205628,-2.42017735107125,-3.16241902708614,-2.01419845454593,-0.376792994477481,-1.03979709831222,0.107668934078819,0.321945999649713,-1.35849850225003,-2.42804527351638
"a",-85.0963966876707,5.31385685722323,-11.8191445388138,0.458992997008605,0.345578256293025,-3.88297657892883,-5.99805487861641,-1.9832732921705,-3.36360364088234,2.75572892712726,1.65032324747953,-0.429779858010105,1.11972559304945
"a",-63.1025548857611,-1.82538211594431,-6.44435608233084,-7.77345347450332,-1.41889686842958,1.05920026352283,1.30440039014849,-1.89066041511816,-0.084980830417292,3.32045065468368,-2.03540743008754,-1.54577131318164,0.461894776693901
"a",-54.3254140335956,-1.09064745910159,-6.70185530723672,-5.51059768770065,-3.60631610602214,-4.96398535592431,-2.74906845068906,-3.33587047287769,-1.06727180426779,6.34266680745572,-1.64807594857032,0.473238960118748,-1.68152534416447
"a",-67.6402167547394,0.602126068426902,0.261032852192047,5.62196114594521,3.55181526671845,-2.75636863573265,-4.49730914427403,-2.12646614785023,-0.833134472903647,-0.554816108110237,1.93194231948891,1.02558241766552,-1.02942459819005
"a",-72.667953133653,0.511732653693393,-3.01559197875905,4.57382462470605,2.67797006662853,-8.1871802819544,-8.12353531054583,-2.05555041341522,0.497442832390093,-2.21229068202479,-2.54929454211168,-0.489496380533645,1.26998236385588
"a",-79.4517835928561,0.838283650590912,1.32054622029357,-4.64740609372249,-0.0115701068168227,-4.45252954821394,-6.66936267149406,-1.68802838968233,-1.78508297507285,3.20358182460466,0.0890650411773355,0.329427526046079,-2.1305815568623
"a",-83.0376431869026,0.884890564614802,-6.83309005973159,1.38358483194639,-3.38797644946473,-0.340289522779292,-3.9911062101349,-0.837958155681321,-2.54107928445195,3.18384883039624,-1.27073549946371,0.731413363423057,-1.68375213009345
"a",-80.32882307113,-8.43437343298787,4.37708808874976,0.267414883688231,-2.54424405223598,-0.670627628957088,-3.1700463229301,-0.417583343068757,0.0992758589888753,3.14704425414727,1.79730891470013,0.920070299184242,0.834302840460096
"a",-76.7307269844163,9.75107100373748,-6.37976877369956,-0.819733276355192,1.91661801872154,-2.59287723244006,-5.82139247290663,1.13082131513879,-3.35355061599788,0.769078394981778,0.862087221846675,-1.74897632399952,-5.83773283211878
"a",-80.1995822775833,-9.94928091359067,-3.64811061567504,-0.00818477661601247,-6.92177165376957,-2.94771562738154,-2.34998175054601,0.329100687152795,-1.64445391535658,1.5025176272119,-1.06537382119121,2.69706294219477,3.16027017352388
"a",-66.1988925429445,-2.1615266468683,-0.681113400527135,-3.0586618461346,-3.43240644883794,-0.797410509367139,-2.93570152199388,-1.6747074875258,-3.48598542212567,2.26645893905304,1.81456295237464,-0.780693647297976,-0.581322876687146
"a",-56.4345426231844,-3.44143564394856,-0.283153806959904,-4.53730831611664,-5.11459471665184,-2.27502934849199,-2.38031997655082,0.504824007985769,-0.563613845387067,0.214211605179991,-0.216874405090303,-0.577710501026873,-0.367652637570159
"a",-52.295705517753,0.922523660475725,-5.33912964077706,-2.42995845276894,0.86899808758008,-6.62741799966621,-8.01203459537279,-2.6643385408755,-0.950530452343013,2.75771240676055,1.36765920129675,0.278755688015768,0.172778001118268
"a",-62.9986797454568,-0.39355525806326,-5.80579925837685,-0.54039713084488,-4.50035460292863,-4.45512315990882,-2.59372769558105,-0.283112209437451,-2.01443249087742,2.83760500632973,3.3301185356287,-0.134557735961122,-0.928768524051192
"a",-76.1481533239068,0.216539378299285,-4.60491781245688,-4.05685151167547,-3.89256110437329,-3.2239366218581,0.440858356451686,-2.03316533577147,-3.23525033114473,2.91057676123068,-0.639075626092553,-1.98295801234345,-3.04757937237214
"a",-84.4681837992498,2.12206024637559,-6.10052927048248,2.18234801178212,1.12773509440235,-4.25433338281066,-3.74190157073242,0.942832918621219,-1.94520824819855,2.9452374348101,0.114637776216418,-0.465387838711534,-2.25911281740228
"a",-63.6502404676218,2.06346799658668,-13.5431067658397,-1.76926313286388,2.70291554385483,-5.11538898660478,-3.53621425072141,1.30171400632044,-0.687192522905245,1.79976406907276,3.64231902720773,-1.90386814460943,-2.56910513721018
"a",-55.3486363729229,-6.57703579005184,-4.77718226253507,-1.76388828066438,-3.38360208931518,-0.274263625503422,0.225508702626899,-0.292145037889813,-0.287676263901772,2.53581377889963,-2.43615211348578,-0.86392010257971,-4.02635694205217
"a",-68.8184294545572,2.5065107994227,-7.93548848602959,-3.90600687210788,0.097923573046606,-2.36578843522741,0.175483019524709,-1.95124957567905,-1.32136355130557,2.00630942230324,-1.08973020905682,-2.97735472223089,-0.19497326996595
"a",-74.7399608430287,6.83817211714918,-9.70287486135502,0.887361041663862,-4.46714659760701,-2.8979136485397,-4.82048450714096,-2.0584015032756,-1.11245171744902,2.48168945507669,-2.56444140778712,1.57122334055225,-1.34903714568036
"a",-86.3837528011173,7.54200514806286,-3.88380792719787,1.08937269915228,-1.54693080590235,-1.19443099345223,-6.12413473581605,-0.820614937531494,-0.690084155433861,2.69645054904223,-2.72948452176744,-0.35447642505236,-0.490102921772193
"a",-64.4033281139278,1.66580347343792,-4.68083518485645,4.56825501688622,0.46664028501457,-2.18332849465761,-2.51169299949203,-0.314039285809801,-1.43277905748567,4.77561730556422,0.648360404397008,1.36980579038981,-1.26502193136829
"a",-83.8145681503713,6.07907855453693,1.01286513006102,-3.76689417205946,-4.56756182643365,-4.94128366656186,-2.140030753198,0.767163727929106,0.4537380710492,0.823040272238545,-0.629476507688437,0.255384829761563,-0.456540720761477
"a",-79.6533738459573,-11.521551723316,4.02874754840375,-0.576212318002026,0.226429264073604,2.22683320467139,-0.790932670824495,-1.80588444081893,-1.520258842366,2.26040720859803,0.125173958979384,1.49718508168992,-1.16821250198736
"a",-64.519312921672,1.2809462812672,-8.30820007448327,-2.45158042595593,-1.69178884918177,-4.91249307054421,-2.22561871923033,0.557791710650261,0.942520253148384,-0.064064426087246,-2.30741715819109,-2.83843195931919,-0.904026977948404
"a",-58.0448118156141,-4.12618658835833,-5.02033878495752,-5.12487841439372,-1.86157394760848,-0.925138008484011,-3.88139328797352,0.796024762267729,-0.573119065214513,0.388690896046896,-0.12864742646193,0.099999032633366,-1.24368022352734
"a",-66.8056737232496,-6.13539751787411,8.90195288301759,-2.66606492533449,-2.31464807362875,-2.93653303982576,-4.13446086307931,-1.25280142194234,-1.03364900558797,0.0853442279688002,-0.22614886564687,-0.159967155445189,-1.94335941484711
"a",-80.8216817736964,-3.85204850983866,-13.9463702085075,5.81426974595699,6.14703486404772,-2.7196959464142,-2.26106419852755,4.10838782679778,-1.42270555829346,-0.380134090870419,1.55642992444529,-1.25990221429792,-1.33880232983653
"a",-87.0442263842352,0.961257771807118,-9.44404080891559,0.184812194576068,-2.38337783503003,-0.872701707808292,-3.44156852999251,-0.405872530577166,-2.06889553628479,4.41805269113386,0.755529519383903,-0.463097866816442,-0.778047215214462
