n_per_category,mean,median,p05,p25,p75,p95,reps
64,0.0237233834770167,0.0214918873231859,0.010330671154454,0.0158008013280609,0.0291219839796392,0.0458958114737352,1000
65,0.0250497000682665,0.0224958969762432,0.0100581019644148,0.0166917399601171,0.0311887116035459,0.0472466777662715,1000
66,0.0245178599446305,0.0228623198132001,0.0103354709256904,0.0163002671834996,0.0300429670700971,0.0452288254739643,1000
67,0.0238306082379342,0.0216159003384837,0.0101781147858768,0.0161262856308494,0.0294574717941246,0.0437989368695781,1000
68,0.0238220583547251,0.0215942975241908,0.010047204581679,0.0158753776106986,0.0296555321251025,0.0443033601773109,1000
69,0.0226425686037246,0.0203070785082351,0.00991298621405339,0.0154223349275032,0.0272682396175255,0.0432120878770978,1000
70,0.0239959978519014,0.02171708883012,0.00982496677192293,0.0159918801651925,0.0296135655410034,0.0447521730675043,1000
71,0.0227732914279235,0.0206780243132168,0.0098169023184778,0.0149929363223882,0.0279202279416028,0.0424305453095126,1000
72,0.0232831236781189,0.0211123684489299,0.00995048063092032,0.0158106591646901,0.0282231041928005,0.0430773628735101,1000
73,0.0221494856251955,0.020102854378774,0.00990269064063553,0.0147418954711342,0.0268774937310188,0.0421109404264232,1000
74,0.022107068841568,0.0201168520542588,0.00973777354090407,0.0147260927225581,0.026854547488598,0.0425216287058003,1000
75,0.0216036824062592,0.0195760668032453,0.00870300303929649,0.0145058705404381,0.0265709805744606,0.0400984910256484,1000
76,0.0218972531618879,0.019880878175864,0.00963512185240895,0.0149270077406047,0.0267933513297012,0.0404321276653217,1000
77,0.0214896792614714,0.0204122975449464,0.00889538924974469,0.0142225659909183,0.0268199044549033,0.0398853250891405,1000
78,0.0214115118228413,0.0197582203090647,0.00922147724286226,0.0145739766856289,0.0263461988423833,0.0398013888722489,1000
79,0.0210459391204673,0.019393758901414,0.00936199804090515,0.0142753514432137,0.0258841796615514,0.0383243883193139,1000
80,0.0214288478261802,0.0194559133202373,0.008940744191586,0.0145467721339983,0.0259178210917033,0.0405311363643837,1000
81,0.0210226880531164,0.0193757900026834,0.00913719167902094,0.0143711209159826,0.0259275837184485,0.0379060085394321,1000
82,0.0201452275427217,0.018652496450282,0.00889645653686353,0.01393011197395,0.0246599001445275,0.0362103849523739,1000
83,0.0207384524634633,0.0187427552778748,0.00892978611352837,0.0138183889961933,0.0261056932169988,0.0386746240956058,1000
84,0.0198587602880216,0.018248118026529,0.00875028178846848,0.0135627663737424,0.0243146247789401,0.0358955059071463,1000
85,0.019492192414543,0.017708693929237,0.00890877679599392,0.0132011064604582,0.0238678338448384,0.0350458517785287,1000
86,0.0198327405905367,0.0179836173675794,0.0090882553439628,0.0138165076055054,0.0238925305297354,0.0363548803385003,1000
87,0.019442019664419,0.0178037439012865,0.00884252042782222,0.0133854437766978,0.0239538239205383,0.0356066351742824,1000
88,0.0194644260463762,0.0178523730607452,0.00882747766592517,0.0133445062135964,0.023304305788605,0.0361375465927637,1000
89,0.0196936496920248,0.0184646534569501,0.008859882232619,0.0135371179668235,0.024782041642892,0.0346182593062065,1000
90,0.0193189987932845,0.0174246791576155,0.00822255546132024,0.0126451057455647,0.0236871812708714,0.0355429636909344,1000
91,0.0191944616182272,0.017805025624375,0.0085983994346737,0.013279992560102,0.0232847772826781,0.0341022044973401,1000
92,0.0189886118455547,0.0173347805914107,0.00844187492858884,0.0129254493439597,0.0231014589771594,0.035007310239151,1000
