v1,v2,n_tokens,jsd,pillai,bhatt_dist,overlap_kde,bhatt_affinity,n_balanced_per_vowel,overlap_knn_density_k10,overlap_knn_density_k25,overlap_knn_density_k50,overlap_mvn_mc,overlap_pca2_grid,overlap_pca2_hull
ɒː,ʉː,939,0.955809640732102,0.646194585496412,1.17373732065844,0.0145363771246033,0.309209165321781,439,0.05557812581121262,0.08622455331389192,0.1159760335808491,0.1351084087591034,0.1548974943052392,0.6252122754602978
ɒː,ʊ,939,0.907495433376061,0.511650929281053,0.756404730318862,0.020827428568445,0.469350840081058,439,0.16478932046159772,0.23683736444567866,0.2612412207450663,0.22073647000245888,0.2209567198177676,0.7168818717113826
e,ej,1000,0.821701602304864,0.249389489629592,0.456012164861652,0.0742026989352672,0.633806126887804,500,0.22287098731488433,0.28833355134577554,0.3456973877825291,0.3483120541876359,0.358,0.8925348725561063
e,ə,1000,0.820749805207463,0.32440527602883,0.543373056241067,0.0592273809241713,0.580785921131707,500,0.37025265747347164,0.4035066547127208,0.4477903316938052,0.3100459969570647,0.404,0.8720943856639262
e,əw,1000,0.90857289968048,0.568357626867176,1.06578010869556,0.0252987713487263,0.344459034438286,500,0.14847828732595048,0.18922592521241616,0.22782493029533568,0.14724267373906774,0.202,0.8548053005251671
e,ɛ,1000,0.84385060101324,0.416681109969488,0.692127530087807,0.04844106953727,0.500510085246206,500,0.26239649305312807,0.32830003917264755,0.3633865906740331,0.24246352273419466,0.278,0.7960836678589855
e,ɛː,845,0.838355234895911,0.336942143950306,0.597118910821188,0.0682157313582849,0.550395091302504,345,0.2797427340693668,0.3181880401199496,0.382211650119739,0.29090208664980244,0.3014492753623188,0.8784975256559571
e,ɚ,1000,0.899458734159923,0.537495853234095,0.87717091218885,0.0337668550783876,0.415958030434585,500,0.10387197766416686,0.15465905716350195,0.20384206532957683,0.1948959021859514,0.20400000000000001,0.8398226316432081
e,ɝ,1000,0.969114458400331,0.707884052862251,1.57521818815964,0.0085641677334279,0.206962391011252,500,0.03592150846838097,0.07877555389671795,0.10945482501966938,0.07945035494480744,0.11599999999999999,0.6375947283898226
e,i,1000,0.663225987180571,0.0825792812766775,0.241609516210597,0.174635693299272,0.785362789122462,500,0.4772405416145781,0.6054552054235969,0.6711200992120012,0.5014261357589507,0.4660000000000001,0.9228931880155095
e,iː,1000,0.807050104980818,0.288081697117603,0.462284693678033,0.0884152428318413,0.629843002094098,500,0.25005073664547195,0.32568981385610773,0.39932909489058555,0.3469696729862526,0.402,0.9052464088668358
e,ɪ,1000,0.793001152284802,0.11059293277718,0.353998367988081,0.0973761894309579,0.701876112824641,500,0.4122953673907068,0.48130815822118017,0.5448052548178134,0.4105602653048283,0.44400000000000006,0.9798542252511375
e,o,1000,0.818301780806773,0.551426732051638,0.851975090611612,0.0586851989911089,0.426571581849961,500,0.15448190705884696,0.20534143780092481,0.24354711929094996,0.20822549833704085,0.21600000000000003,0.8094416085917655
e,ow,1000,0.967885011242545,0.73178352477194,1.67464774661569,0.0149015972006264,0.187374171044283,500,0.024455230754847745,0.05168783199192295,0.08981734690347427,0.07351482200306865,0.11200000000000002,0.5280802764979602
e,ɔ,1000,0.875644262976126,0.508285133810709,0.744989930732542,0.0532156017987402,0.474739080190617,500,0.1956929995331386,0.21769293493705705,0.23810895506086047,0.23585184373758694,0.24400000000000005,0.7513701408299089
e,u,783,0.668374752775074,0.238727075730807,0.420962877194842,0.182117114338792,0.656414468903305,283,0.6354861451511529,0.6654775873746865,0.6822301862794536,0.38338742925089336,0.3286219081272085,0.7840578083839576
e,uː,1000,0.714228193615903,0.281583925747277,0.36450782166865,0.178640228781507,0.694538403521961,500,0.41742203963570057,0.5220278786240582,0.6106919613882347,0.4134764251267556,0.44000000000000006,0.8116081096105189
e,ʉː,1000,0.765116167299569,0.201804827857997,0.356394504906909,0.127602773479569,0.700196334850967,500,0.44318696089801135,0.5328455306302318,0.6203179215428323,0.4068335472060339,0.44200000000000006,0.980855466887446
e,ʊ,1000,0.843455839740224,0.287096291808143,0.567167778655974,0.0879045260690823,0.567129402235313,500,0.4157626632834889,0.43169084217484077,0.48097410745492514,0.2939448698793595,0.40800000000000003,0.9822725536379832
ej,ə,1000,0.912785772525643,0.393860476322232,0.502862302684441,0.0338035314574794,0.604797067593408,500,0.2996440334300167,0.380950252897147,0.4311582746272272,0.33457796282850594,0.332,0.8464223626375346
ej,əw,1000,0.959738493405684,0.57086630803666,0.928226404821766,0.0092153285615094,0.395254109858847,500,0.08088107347393368,0.1320970128787611,0.18782103768803904,0.18416071045729773,0.202,0.7937192813316648
ej,ɛ,1000,0.804271471399512,0.271791905269043,0.347504044453752,0.0795840494593022,0.706449156722843,500,0.4420751617750698,0.5476529568125467,0.597584439751483,0.42173552280667154,0.394,0.8517351761587995
ej,ɛː,845,0.853503445503949,0.263234887769358,0.355151985670139,0.0531486484880981,0.701066882990941,345,0.4705591313700165,0.541895654452286,0.5705752403377404,0.402849010178999,0.33333333333333337,0.9084344114838735
ej,ɚ,1000,0.937426722658214,0.565585476229747,0.961782601638657,0.020303535252576,0.382210948481171,500,0.105141533434831,0.14839952983565138,0.18348532611873608,0.17697922616608017,0.212,0.6606163764470747
ej,ɝ,1000,0.971551322881164,0.694922748563799,1.42221039652934,0.0078472350871867,0.241180323127719,500,0.055973789907021954,0.09306728954194893,0.1244167060170315,0.09780830696626805,0.15600000000000003,0.5603032015483806
ej,i,1000,0.841986641118054,0.281165933734213,0.349060456419086,0.0579626547617577,0.705350486016323,500,0.30707781992647387,0.4142929656918054,0.48704412043052436,0.4106821856976292,0.42800000000000005,0.8360252697085521
ej,iː,1000,0.863026046919937,0.383797673690647,0.446857812462399,0.0542459714618592,0.639634849913537,500,0.28867075096609474,0.38961806588737696,0.4282704618886989,0.3575106828806056,0.368,0.8125587239292853
ej,ɪ,1000,0.786568468261249,0.140284487673549,0.195155808450118,0.0666621376079636,0.822706463450404,500,0.516643325630773,0.644222035309689,0.7066580734782559,0.5401212473050386,0.4680000000000001,0.9274015190557338
ej,o,1000,0.959745631696944,0.641315461933369,1.35052740040014,0.0144363129541957,0.25910357327635,500,0.0816195560335332,0.12907372485800692,0.16610111175159256,0.10706834698160353,0.124,0.6739007915009851
ej,ow,1000,0.979721879604817,0.732871536146096,1.65459472363321,0.0064867676459272,0.191169516494976,500,0.036756318786389006,0.0699060279699037,0.10738529356944743,0.07044151626052068,0.088,0.6380519936633567
ej,ɔ,1000,0.948832877512237,0.595366893987753,1.04996733723747,0.0198602077302045,0.349949179231423,500,0.10434002124559218,0.14061147350377923,0.16836050152184123,0.15615506201099144,0.186,0.7482940516681263
ej,u,783,0.943621059446547,0.521116871368169,1.1485013036174,0.0184977274919904,0.317111667535106,283,0.17897634840742477,0.2176883470715904,0.27486656074599664,0.12998072690085688,0.17667844522968196,0.7408930376076142
ej,uː,1000,0.92124226111794,0.58088347244835,1.17890360078097,0.0250557680903106,0.307615823526216,500,0.1228784468756163,0.18159608272403893,0.22386951684247489,0.12371346183121827,0.21800000000000003,0.7689636353309924
ej,ʉː,1000,0.908782504713384,0.413159557570035,0.521193762084025,0.0445223754022032,0.593811255329417,500,0.24387189617887464,0.3482157113078094,0.4096694478747687,0.31210183074093983,0.36000000000000004,0.8101587873850853
ej,ʊ,1000,0.914785547190259,0.389919239709066,0.556620668500798,0.0400579009337619,0.573142633877867,500,0.33587383488355815,0.44104365669589507,0.4810620875421887,0.30689132091245785,0.34199999999999997,0.8605810235525968
ə,əw,1000,0.856676499555889,0.244508722492102,0.279293670298483,0.048070154895029,0.756317762535512,500,0.44849621983415955,0.5043125705513766,0.5619785553834646,0.46510695756054826,0.364,0.8804439015778135
ə,ɛ,1000,0.868143357533633,0.201951217823663,0.231780037333258,0.0533598995767034,0.79312056103474,500,0.5057591817517222,0.6155702490386161,0.6790502255490447,0.5178139585354622,0.404,0.8517341976964421
ə,ɛː,845,0.850183184310653,0.151658542632368,0.209141450968164,0.0567298920590249,0.811280471118734,345,0.5557018406048221,0.675246815437518,0.7272294366421752,0.522426210295877,0.3826086956521739,0.8678428877773632
ə,ɚ,1000,0.875284645487585,0.286549997529657,0.385748214668276,0.0592555412974759,0.679941703476751,500,0.3273968255185147,0.39358760328058906,0.4671124545520851,0.3926471061378194,0.41200000000000003,0.8408063753838578
ə,ɝ,1000,0.893330332931519,0.446579949034277,0.562973885008,0.048467764361042,0.569512877159573,500,0.3066024486435831,0.4274405584109318,0.4732982630859976,0.3027304248758931,0.3,0.752189437705659
ə,i,1000,0.870101646860008,0.370266809242231,0.497180884849458,0.0510394254150326,0.608242951925133,500,0.33279643536555703,0.40478229804482163,0.4445050467851531,0.3363980557678789,0.32600000000000007,0.7837336734050004
ə,iː,1000,0.910136365465386,0.503629781277096,0.724629400686237,0.021962444704972,0.484504092571866,500,0.16384682226170785,0.2196062747868323,0.2632475121428319,0.23743545137469801,0.20400000000000001,0.8221259090584112
ə,ɪ,1000,0.843014942894814,0.164425440993334,0.213879197178985,0.0594119449155286,0.807445920876319,500,0.5755634352022792,0.6356139810072234,0.6739701660856803,0.5298403534145731,0.48000000000000004,0.8642908159353974
